loaded models...
og solubility: 0.06666666666666667 | raw solubility: 0.6666666666666666 | no guide solubility: 1.0 | optimized solubility: 1.0 | solubility diff: 0.9333333333333333
og solubility: 0.06060606060606061 | raw solubility: 0.7589285714285714 | no guide solubility: 0.7652173913043478 | optimized solubility: 0.8 | solubility diff: 0.7393939393939395
og solubility: 1.0 | raw solubility: 0.9029126213592233 | no guide solubility: 1.0 | optimized solubility: 1.0 | solubility diff: 0.0
og solubility: 0.07954545454545454 | raw solubility: 0.3122448979591837 | no guide solubility: 0.6937119675456389 | optimized solubility: 0.7849898580121704 | solubility diff: 0.7054444034667158
og solubility: 0.0764872521246459 | raw solubility: 0.31020408163265306 | no guide solubility: 0.6450304259634888 | optimized solubility: 0.7849898580121704 | solubility diff: 0.7085026058875245
og solubility: 0.1 | raw solubility: 0.7178988326848249 | no guide solubility: 1.0 | optimized solubility: 1.0 | solubility diff: 0.9
og solubility: 0.11538461538461539 | raw solubility: 0.72265625 | no guide solubility: 0.9980582524271845 | optimized solubility: 0.9941747572815534 | solubility diff: 0.8787901418969379
og solubility: 0.08176100628930817 | raw solubility: 0.7154150197628458 | no guide solubility: 1.0 | optimized solubility: 0.9449901768172888 | solubility diff: 0.8632291705279806
og solubility: 0.1320754716981132 | raw solubility: 0.6762749445676275 | no guide solubility: 0.6629955947136564 | optimized solubility: 0.6718061674008811 | solubility diff: 0.5397306957027679
og solubility: 0.18471337579617833 | raw solubility: 0.6849015317286652 | no guide solubility: 0.6760869565217391 | optimized solubility: 0.7391304347826086 | solubility diff: 0.5544170589864303
og solubility: 0.12962962962962962 | raw solubility: 0.6791208791208792 | no guide solubility: 0.7074235807860262 | optimized solubility: 0.7358078602620087 | solubility diff: 0.6061782306323791
og solubility: 0.05813953488372093 | raw solubility: 0.656319290465632 | no guide solubility: 0.7224669603524229 | optimized solubility: 0.7577092511013216 | solubility diff: 0.6995697162176007
og solubility: 0.05027932960893855 | raw solubility: 0.6385809312638581 | no guide solubility: 0.6519823788546255 | optimized solubility: 0.6784140969162996 | solubility diff: 0.6281347673073611
og solubility: 0.475 | raw solubility: 0.8520084566596194 | no guide solubility: 0.7542016806722689 | optimized solubility: 0.7689075630252101 | solubility diff: 0.29390756302521015
og solubility: 0.4878048780487805 | raw solubility: 0.8502109704641351 | no guide solubility: 0.7756813417190775 | optimized solubility: 0.7568134171907757 | solubility diff: 0.2690085391419952
og solubility: 0.0 | raw solubility: 0.6029411764705882 | no guide solubility: 0.6245006657789614 | optimized solubility: 0.6218375499334221 | solubility diff: 0.6218375499334221
og solubility: 0.0 | raw solubility: 0.6050531914893617 | no guide solubility: 0.6304635761589404 | optimized solubility: 0.6357615894039735 | solubility diff: 0.6357615894039735
og solubility: 0.0 | raw solubility: 0.6037234042553191 | no guide solubility: 0.623841059602649 | optimized solubility: 0.6291390728476821 | solubility diff: 0.6291390728476821
og solubility: 0.0029940119760479044 | raw solubility: 0.6186666666666667 | no guide solubility: 0.6201859229747676 | optimized solubility: 0.6188579017264276 | solubility diff: 0.6158638897503798
og solubility: 0.0 | raw solubility: 0.6173333333333333 | no guide solubility: 0.6188579017264276 | optimized solubility: 0.6175298804780877 | solubility diff: 0.6175298804780877
og solubility: 0.005952380952380952 | raw solubility: 0.6173333333333333 | no guide solubility: 0.6281540504648074 | optimized solubility: 0.6162018592297477 | solubility diff: 0.6102494782773668
og solubility: 0.14285714285714285 | raw solubility: 0.21568627450980393 | no guide solubility: 1.0 | optimized solubility: 1.0 | solubility diff: 0.8571428571428572
og solubility: 0.21739130434782608 | raw solubility: 0.20588235294117646 | no guide solubility: 0.9523809523809523 | optimized solubility: 0.3904761904761905 | solubility diff: 0.1730848861283644
og solubility: 0.32098765432098764 | raw solubility: 0.28431372549019607 | no guide solubility: 1.0 | optimized solubility: 1.0 | solubility diff: 0.6790123456790124
og solubility: 0.33766233766233766 | raw solubility: 0.3137254901960784 | no guide solubility: 0.5904761904761905 | optimized solubility: 0.42857142857142855 | solubility diff: 0.09090909090909088
og solubility: 0.3026315789473684 | raw solubility: 0.3235294117647059 | no guide solubility: 1.0 | optimized solubility: 0.9904761904761905 | solubility diff: 0.6878446115288221
og solubility: 0.0 | raw solubility: 0.9920318725099602 | no guide solubility: 1.0 | optimized solubility: 1.0 | solubility diff: 1.0
og solubility: 0.008771929824561403 | raw solubility: 0.33752620545073375 | no guide solubility: 1.0 | optimized solubility: 1.0 | solubility diff: 0.9912280701754386
og solubility: 0.041666666666666664 | raw solubility: 0.23706896551724138 | no guide solubility: 1.0 | optimized solubility: 1.0 | solubility diff: 0.9583333333333334
